"","X","HBW_names","Tree_names","HBW_species_common_name","HBW_family","HBW_family_common_name","Data_source","Literature_Museum","Outer_volume..cm3","Inner_volume..cm3","Outer_volume_full..cm3","External_diameter..cm","Thickness..cm","External_height..cm","Internal_diameter..cm","Internal_height..cm","Body_mass..g","Migration_status","Migration_coded","Clutch_size","Nestling_period..days","Nest_builder_identity","Loc_vegetation","Loc_ground","Loc_rock","Loc_cavity_obligatory","Mean_nest_height..m","Range_midpoint_latitude","N_S","Insularity","Insularity_2","Mean_temperature","Mean_rainfall"
"688",688,"Melithreptus_brevirostris","Melithreptus_brevirostris","Brown-headed Honeyeater","Meliphagidae","Honeyeaters","HBW","L",86.36,52.57,138.93,6.65,0.95,6,4.75,4.45,12.6,"Not a Migrant",0,3,13,"Excl_Group Care",1,0,0,0,12.35,-32,"S",0,0,18.44,44.29
"689",689,"Melithreptus_lunatus","Melithreptus_lunatus","White-naped Honeyeater","Meliphagidae","Honeyeaters","HBW","L",59.99,36.09,96.08,5.75,0.83,5.55,4.1,4.1,14.01,"Full Migrant",1,2.67,15.25,"Excl_Group Care",1,0,0,0,20.1,-31.09,"S",0,0,18.43,60.35
"692",692,"Melospiza_georgiana","Melospiza_georgiana","Swamp Sparrow","Passerellidae","New World sparrows","BNA","L",399.2,73.24,472.44,10.79,2.54,7.75,5.71,4.29,16.1,"Full Migrant",1,4,10,"Female",1,1,0,0,0.5,53.1,"N",0,0,3.78,56.88
"693",693,"Melospiza_lincolnii","Melospiza_lincolnii","Lincoln's Sparrow","Passerellidae","New World sparrows","BNA","L",225.43,67.31,292.74,10.3,2.08,5.27,6.14,3.41,16.6,"Full Migrant",1,4,10.5,"Female",1,1,0,0,0,55.87,"N",0,0,1.81,49.08
"695",695,"Melospiza_melodia","Melospiza_melodia","Song Sparrow","Passerellidae","New World sparrows","BNA","L",936.84,63.36,1000.2,15.55,5.08,7.9,5.4,4.15,21.91,"Full Migrant",1,4,10,"Female",1,1,0,0,2,49.82,"N",0,0,6.59,57.88
"696",696,"Melozone_aberti","Pipilo_aberti","Abert's Towhee","Passerellidae","New World sparrows","BNA","M",918.28,152.91,1071.19,13.7,2.95,10.9,7.8,4.8,45.93,"Not a Migrant",0,3,12.5,"Female",1,1,0,0,2,33.78,"N",0,0,18.77,13.54
"704",704,"Microeca_fascinans","Microeca_fascinans","Jacky Winter","Petroicidae","Australasian robins","HBW","L",48.13,16.08,64.2,6.05,0.9,3.35,4.25,1.7,14.47,"Not a Migrant",0,2,18.5,"Female",1,0,0,0,9.5,-26.82,"S",0,0,22.72,39.01
"710",710,"Mimus_parvulus","Mimus_parvulus","Galapagos Mockingbird","Mimidae","Mockingbirds and thrashers","Tring","M",476.61,143.89,620.5,13.28,2.52,6.74,8.25,4.04,53.64,"Not a Migrant",0,4,14,"Excl_Group Care",1,0,0,0,3.5,-0.42,"S",1,1,23.5,21.91
"716",716,"Mohoua_albicilla","Mohoua_albicilla","Whitehead","Mohouidae","Mohouas","HBW","L",496.9,62.94,559.85,11.35,2.83,8.3,5.7,3.7,17.63,"Not a Migrant",0,3,17.5,"Excl_Group Care",1,0,0,0,15.6,-39.12,"S",1,0,11.74,136.98
"717",717,"Mohoua_novaeseelandiae","Mohoua_novaeseelandiae","Pipipi","Mohouidae","Mohouas","HBW","L",233.26,42.41,275.67,9,2.25,6.5,4.5,4,12.14,"Not a Migrant",0,2.5,20,"Female",1,0,0,0,5.5,-42.26,"S",1,0,9.23,224.52
"721",721,"Monticola_solitarius","Monticola_solitarius","Blue Rock-thrush","Muscicapidae","Old World flycatchers and chats","Tring","M",540.51,144.76,685.27,14.73,3.06,6.04,8.6,3.74,53.65,"Full Migrant",1,4.5,16.5,"Mainly Female",0,0,1,0,60.5,33.87,"N",0,0,13.26,77.91
"724",724,"Motacilla_aguimp","Motacilla_aguimp","African Pied Wagtail","Motacillidae","Pipits and wagtails","Tring","M",504.48,69.75,574.23,13.94,3.87,5.65,6.2,3.47,27,"Not a Migrant",0,3.5,15.5,"Both",0,1,1,0,0,-5.55,"S",0,0,23.49,100.39
"728",728,"Motacilla_capensis","Motacilla_capensis","Cape Wagtail","Motacillidae","Pipits and wagtails","Tring","M",225.63,71.04,296.66,10.37,2.12,5.27,6.14,3.6,20.8,"Not a Migrant",0,2.5,15.5,"Both",1,1,0,0,3,-21.73,"S",0,0,19.52,57.08
"729",729,"Motacilla_cinerea","Motacilla_cinerea","Grey Wagtail","Motacillidae","Pipits and wagtails","Tring","M",282.61,81.03,363.64,11.94,2.71,4.6,6.63,3.48,17.15,"Full Migrant",1,5,12,"Both",0,0,1,0,7.5,56.81,"N",0,0,3.48,42.26
"730",730,"Motacilla_citreola","Motacilla_citreola","Citrine Wagtail","Motacillidae","Pipits and wagtails","BWP","L",271.03,77.43,348.45,11,2.25,5.5,6.5,3.5,19.11,"Full Migrant",1,4.5,11.5,"Female",0,1,0,0,0,57.9,"N",0,0,2.04,32.07
"731",731,"Motacilla_flava","Motacilla_flava","Western Yellow Wagtail","Motacillidae","Pipits and wagtails","Tring","M",202.61,86.14,288.75,10.83,2.25,4.74,6.34,4.07,17.68,"Full Migrant",1,5,12,"Mainly Female",0,1,0,0,0,57.93,"N",0,0,5.11,38.33
"734",734,"Muscicapa_adusta","Muscicapa_adusta","African Dusky Flycatcher","Muscicapidae","Old World flycatchers and chats","Tring","M",153,23.71,176.71,8.13,2,4.92,4.13,2.73,10.4,"Not a Migrant",0,2.5,17,"Both",1,0,1,0,8,-9.61,"S",0,0,20.3,86.16
"736",736,"Muscicapa_cassini","Muscicapa_cassini","Cassin's Flycatcher","Muscicapidae","Old World flycatchers and chats","Tring","M",156.1,27.05,183.15,8.5,2.04,4.84,4.41,2.65,17.3,"Not a Migrant",0,2,12,"Female",1,0,0,0,2,-1.61,"S",0,0,24.28,137.01
"738",738,"Muscicapa_sethsmithi","Muscicapa_sethsmithi","Yellow-footed Flycatcher","Muscicapidae","Old World flycatchers and chats","HBW","L",394.78,38.17,432.95,10.5,3,7.5,4.5,3.6,9.1,"Not a Migrant",0,2,12,"Mainly Female",1,0,0,0,5.75,1.6,"N",0,0,23.93,144.47
"740",740,"Muscicapa_striata","Muscicapa_striata","Spotted Flycatcher","Muscicapidae","Old World flycatchers and chats","Tring","M",353.31,58.44,411.74,12.04,3.17,5.71,5.7,3.44,15.9,"Full Migrant",1,5,14.5,"Both",1,0,0,0,8,53.36,"N",0,0,7.3,43.59
"745",745,"Myadestes_obscurus","Myadestes_obscurus","Omao","Turdidae","Thrushes","BNA","L",646.92,155.17,802.08,14.9,3.25,6.9,8.4,4.2,50.44,"Not a Migrant",0,1.5,19,"Female",1,1,0,0,5,19.25,"N",1,1,16.85,157.89
"746",746,"Myadestes_obscurus","Myadestes_obscurus","Omao","Turdidae","Thrushes","BNA","L",2706.8,118.63,2825.43,22.25,7.73,10.9,6.8,4.9,50.44,"Not a Migrant",0,1.5,19,"Female",1,1,0,0,5,19.25,"N",1,1,16.85,157.89
"748",748,"Myadestes_palmeri","Myadestes_palmeri","Puaiohi","Turdidae","Thrushes","BNA","L",660,151.96,811.96,13.2,2.9,8.9,7.4,5.3,39.6,"Not a Migrant",0,2,18.3,"Excl_Group Care",0,0,1,0,4.7,22.25,"N",1,1,19.69,126.81
"749",749,"Myadestes_townsendi","Myadestes_townsendi","Townsend's Solitaire","Turdidae","Thrushes","BNA","L",1368.95,134.76,1503.71,19.7,6.15,7.4,7.4,4.7,33.2,"Full Migrant",1,4,11,"Female",0,1,1,0,1.75,54.35,"N",0,0,4.19,39.72
"751",751,"Myioborus_miniatus","Myioborus_miniatus","Slate-throated Whitestart","Parulidae","New World warblers","Tring","M",190.11,49.4,239.51,9.13,2.09,5.49,4.96,3.84,9,"Not a Migrant",0,2.5,13,"Both",1,1,0,0,0,22.04,"N",0,0,19.58,127.01
"752",752,"Myioborus_pictus","Myioborus_pictus","Painted Whitestart","Parulidae","New World warblers","BNA","L",320.32,46.3,366.62,10.3,2.6,6.6,5.1,3.4,9.79,"Full Migrant",1,4,13,"Female",0,1,1,0,0,27.16,"N",0,0,18.68,43.15
"757",757,"Myiophobus_fasciatus","Myiophobus_fasciatus","Bran-colored Flycatcher","Tyrannidae","Tyrant-flycatchers","Tring","M",125.36,30.04,155.41,7.55,1.82,5.2,3.91,3.76,9.9,"Full Migrant",1,2,15,"Mainly Female",1,0,0,0,2.95,-17.02,"S",0,0,23.1,124.48
"770",770,"Myzomela_cardinalis","Myzomela_cardinalis","Cardinal Myzomela","Meliphagidae","Honeyeaters","Tring","M",113.18,42.69,155.88,8.28,1.62,4.31,5.03,3.19,13.76,"Not a Migrant",0,2,13,"Mainly Female",1,0,0,0,5.25,-20.75,"S",1,1,24.99,253.23
"777",777,"Myzomela_sanguinolenta","Myzomela_sanguinolenta","Scarlet Myzomela","Meliphagidae","Honeyeaters","HBW","L",30.2,21.55,51.75,5.1,0.65,3.8,3.8,2.85,8.34,"Full Migrant",1,2,11.5,"Both",1,0,0,0,13.1,-27.85,"S",0,0,20.09,68.03
"781",781,"Nesoptilotis_flavicollis","Lichenostomus_flavicollis","Yellow-throated Honeyeater","Meliphagidae","Honeyeaters","HBW","L",438.53,108.06,546.6,10.8,2.25,8.95,6.3,5.2,28.71,"Not a Migrant",0,2.4,16,"Female",1,1,0,0,3.8,-41.93,"S",1,0,10.63,106.59
"789",789,"Nilaus_afer","Nilaus_afer","Brubru","Malaconotidae","Bush-shrikes","Tring","M",62.32,24.05,86.36,7.38,1.47,2.87,4.44,2.2,19.06,"Not a Migrant",0,2,21.5,"Both",1,0,0,0,5.75,8.46,"N",0,0,23.9,69.31
"792",792,"Nucifraga_caryocatactes","Nucifraga_caryocatactes","Northern Nutcracker","Corvidae","Crows and jays","BWP","L",4488.29,821,5309.29,26,6,15,14,8,182.51,"Not a Migrant",0,3.5,23,"Both",1,0,0,0,6,60.26,"N",0,0,0.42,38.2
"793",793,"Nucifraga_columbiana","Nucifraga_columbiana","Clark's Nutcracker","Corvidae","Crows and jays","BNA","L",6220.54,467.59,6688.12,28.8,9.05,15.4,10.7,7.8,129.81,"Not a Migrant",0,2.5,20,"Both",1,0,0,0,12.9,44.17,"N",0,0,7.38,42.23
"802",802,"Oenanthe_hispanica","Oenanthe_hispanica","Black-eared Wheatear","Muscicapidae","Old World flycatchers and chats","Tring","M",224.77,56.85,281.62,11.52,2.54,4.05,6.31,2.7,15.04,"Full Migrant",1,4.5,12.5,"Female",0,1,0,0,0,38.24,"N",0,0,14.22,43.11
"814",814,"Oreoica_gutturalis","Oreoica_gutturalis","Crested Bellbird","Oreoicidae","Australo-Papuan bellbirds","HBW","L",1037.09,381.33,1418.42,13.35,1.58,15.2,10.2,7,62.8,"Not a Migrant",0,2.5,11.5,"Both",1,0,0,0,2,-27.32,"S",0,0,23.13,23.34
"815",815,"Oreomystis_bairdi","Oreomystis_bairdi","Akikiki","Fringillidae","Finches","BNA","L",485.42,56.5,541.92,9.7,1.9,11,5.9,3.1,14.24,"Not a Migrant",0,2,19.5,"Mainly Female",1,0,0,0,8.25,22.25,"N",1,1,21.14,129.53
"816",816,"Oreomystis_bairdi","Oreomystis_bairdi","Akikiki","Fringillidae","Finches","BNA","L",287.02,47.25,334.27,9.55,2.4,7,4.75,4,14.24,"Not a Migrant",0,2,19.5,"Mainly Female",1,0,0,0,8.25,22.25,"N",1,1,21.14,129.53
"825",825,"Oriolus_larvatus","Oriolus_larvatus","Eastern Black-headed Oriole","Oriolidae","Old World orioles","HBW","L",287.16,136.95,424.12,9,0.75,10,7.5,4.65,66.1,"Not a Migrant",0,2.5,17,"Mainly Female",1,0,0,0,11.5,-12.11,"S",0,0,21.88,75.18
"826",826,"Oriolus_oriolus","Oriolus_oriolus","Eurasian Golden Oriole","Oriolidae","Old World orioles","BWP","L",470.27,249.68,719.95,12.5,1.9,8.8,8.7,6.3,79,"Full Migrant",1,4,16.5,"Mainly Female",1,0,0,0,10.4,51.69,"N",0,0,8.59,45.3
"827",827,"Oriolus_oriolus","Oriolus_oriolus","Eurasian Golden Oriole","Oriolidae","Old World orioles","HBW","L",658.69,418.88,1077.57,14,2,10.5,10,8,79,"Full Migrant",1,4,16.5,"Mainly Female",1,0,0,0,10.4,51.69,"N",0,0,8.59,45.3
"838",838,"Pachycephala_pectoralis","Pachycephala_pectoralis","Golden Whistler","Pachycephalidae","Whistlers","HBW","L",452.66,79.53,532.19,12.05,3,7,6.05,4.15,30.36,"Not a Migrant",0,2.5,11,"Mainly Female",1,0,0,0,4.75,-32.54,"S",0,0,18.18,56.68
"839",839,"Pachycephala_rufiventris","Pachycephala_rufiventris","Rufous Whistler","Pachycephalidae","Whistlers","Tring","M",140.8,60.12,200.92,8.46,1.66,5.61,5.14,4.7,22.48,"Full Migrant",1,2.5,11,"Female",1,0,0,0,13.65,-25.99,"S",0,0,23.62,33.82
"840",840,"Pachycephala_rufiventris","Pachycephala_rufiventris","Rufous Whistler","Pachycephalidae","Whistlers","HBW","L",160.14,60.59,220.73,8.6,1.43,5.7,5.75,3.5,22.48,"Full Migrant",1,2.5,11,"Female",1,0,0,0,13.65,-25.99,"S",0,0,23.62,33.82
"845",845,"Panurus_biarmicus","Panurus_biarmicus","Bearded Reedling","Panuridae","Bearded Reedling","BWP","L",643.41,115.81,759.22,10,1.8,14.5,6.4,5.4,13.82,"Not a Migrant",0,6,12.5,"Both",1,0,0,0,0.39,45.27,"N",0,0,8.83,24.51
"848",848,"Paradisaea_minor","Paradisaea_minor","Lesser Bird-of-paradise","Paradisaeidae","Birds-of-paradise","Tring","M",1433.77,331.25,1765.03,18.24,4.21,9.87,9.82,6.57,207.93,"Not a Migrant",0,1,18.5,"Excl_Female Care",1,0,0,0,6,-3.62,"S",1,0,25.29,242.48
"849",849,"Paradisaea_raggiana","Paradisaea_raggiana","Raggiana Bird-of-paradise","Paradisaeidae","Birds-of-paradise","Tring","M",1246.39,284.98,1531.37,18.05,4.09,8.87,9.87,5.57,212.59,"Not a Migrant",0,2,18.5,"Excl_Female Care",1,0,0,0,6.5,-7.59,"S",1,0,24.01,251.96
"854",854,"Parkesia_motacilla","Seiurus_motacilla","Louisiana Waterthrush","Parulidae","New World warblers","BNA","L",1030.84,147.26,1178.1,15,3.75,10,7.5,5,19.9,"Full Migrant",1,5,10,"Both",0,1,1,0,0,38.06,"N",0,0,14.8,104.78
"858",858,"Paroreomyza_montana","Paroreomyza_montana","Maui Alauahio","Fringillidae","Finches","Tring","M",318.77,33.36,352.14,10.32,2.94,6.43,4.43,3.26,13.12,"Not a Migrant",0,2,18,"Excl_Group Care",1,0,0,0,14,20.75,"N",1,1,20.64,126.01
"859",859,"Paroreomyza_montana","Paroreomyza_montana","Maui Alauahio","Fringillidae","Finches","BNA","L",279.91,42.73,322.63,9.45,2.2,6.9,5.05,3.2,13.12,"Not a Migrant",0,2,18,"Excl_Group Care",1,0,0,0,14,20.75,"N",1,1,20.64,126.01
"862",862,"Passerculus_henslowii","Ammodramus_henslowii","Henslow's Sparrow","Passerellidae","New World sparrows","BNA","L",308.01,56.28,364.29,11,2.88,5.75,5.25,3.9,12.8,"Full Migrant",1,4,9,"Female",1,1,0,0,0.04,41.1,"N",0,0,12.31,91.88
"865",865,"Passerculus_sandwichensis","Passerculus_sandwichensis","Savannah Sparrow","Passerellidae","New World sparrows","Tring","M",194.6,68.43,263.03,9.94,1.41,5.09,7.12,2.58,19.97,"Full Migrant",1,4.5,10.5,"Female",0,1,0,0,0,57.92,"N",0,0,1.54,43.68
"866",866,"Passerella_arborea","Spizella_arborea","American Tree Sparrow","Passerellidae","New World sparrows","BNA","L",432.02,45.81,477.84,13,4,5.4,5,3.5,17.83,"Full Migrant",1,5,9,"Female",1,1,0,0,0.6,63.74,"N",0,0,-3.31,28.16
"867",867,"Passerella_iliaca","Passerella_iliaca","Red Fox-sparrow","Passerellidae","New World sparrows","BNA","L",3529.87,87.25,3617.12,25.35,9.2,10.75,6.95,3.45,33.25,"Full Migrant",1,3,10.5,"Female",1,1,0,0,0.75,61.74,"N",0,0,-1.37,32.31
"868",868,"Passerella_iliaca","Passerella_iliaca","Red Fox-sparrow","Passerellidae","New World sparrows","BNA","L",1246.01,133.07,1379.08,15.2,3.8,11.4,7.6,4.4,33.25,"Full Migrant",1,3,10.5,"Female",1,1,0,0,0.75,61.74,"N",0,0,-1.37,32.31
"870",870,"Passerella_iliaca","Passerella_iliaca","Red Fox-sparrow","Passerellidae","New World sparrows","BNA","L",489.07,154.44,643.52,12.7,2.54,7.62,7.62,5.08,33.25,"Full Migrant",1,3,10.5,"Female",1,1,0,0,0.75,61.74,"N",0,0,-1.37,32.31
"871",871,"Passerina_amoena","Passerina_amoena","Lazuli Bunting","Cardinalidae","Cardinals","BNA","L",268.53,49.55,318.08,9.25,2.03,7.1,5.2,3.5,15.49,"Full Migrant",1,3.5,10,"Female",1,0,0,0,4.5,43.53,"N",0,0,8.74,41.31
"875",875,"Passerina_ciris","Passerina_ciris","Painted Bunting","Cardinalidae","Cardinals","BNA","L",155.35,66.45,221.8,8.2,1.39,6.3,5.42,4.32,15.54,"Full Migrant",1,3.5,9,"Excl_Female Care",1,0,0,0,7.65,32.5,"N",0,0,19.53,81.97
"876",876,"Passerina_ciris","Passerina_ciris","Painted Bunting","Cardinalidae","Cardinals","Tring","M",160.02,55.61,215.63,8.79,1.79,5.33,5.2,3.93,15.54,"Full Migrant",1,3.5,9,"Excl_Female Care",1,0,0,0,7.65,32.5,"N",0,0,19.53,81.97
"877",877,"Passerina_cyanea","Passerina_cyanea","Indigo Bunting","Cardinalidae","Cardinals","BNA","L",182.66,58.1,240.76,8.29,1.55,6.69,5.19,4.12,14.69,"Full Migrant",1,3.5,10.5,"Female",1,0,0,0,5.15,39.99,"N",0,0,13.31,80.03
"879",879,"Passerina_versicolor","Passerina_versicolor","Varied Bunting","Cardinalidae","Cardinals","BNA","L",127.25,53.41,180.66,7.35,1.14,6.39,5.08,3.96,12.89,"Full Migrant",1,4,10,"Both",1,0,0,0,1,25.39,"N",0,0,21.01,34.74
"881",881,"Pericrocotus_cinnamomeus","Pericrocotus_cinnamomeus","Small Minivet","Campephagidae","Cuckoo-shrikes","Tring","M",37.58,13.91,51.49,5.35,1,3.43,3.35,2.37,8.6,"Not a Migrant",0,3,12,"Both",1,0,0,0,14,21.57,"N",0,0,25.29,115.62
"884",884,"Perisoreus_canadensis","Perisoreus_canadensis","Grey Jay","Corvidae","Crows and jays","BNA","L",929.36,176.74,1106.1,13,2.63,12.5,7.75,5.62,71.58,"Not a Migrant",0,3.5,23,"Excl_Group Care",1,0,0,0,8.35,58.24,"N",0,0,0.9,44.11
"885",885,"Perisoreus_infaustus","Perisoreus_infaustus","Siberian Jay","Corvidae","Crows and jays","BWP","L",2944.87,343.04,3287.91,20.44,5.4,15.03,9.64,7.05,84.4,"Not a Migrant",0,3.5,22.5,"Both",1,0,0,0,9.85,60.99,"N",0,0,-0.02,34.89
"887",887,"Petroica_australis","Petroica_australis","South Island Robin","Petroicidae","Australasian robins","HBW","L",878.99,147.26,1026.25,14,3.25,10,7.5,5,31.33,"Not a Migrant",0,2.5,20.5,"Female",1,0,0,0,7.25,-41.98,"S",1,0,9.34,226.34
"888",888,"Petroica_goodenovii","Petroica_goodenovii","Red-capped Robin","Petroicidae","Australasian robins","HBW","L",90.73,18.51,109.24,6.05,1.35,5.7,3.35,3.15,8.9,"Full Migrant",1,2.5,14,"Female",1,0,0,0,4.65,-27.24,"S",0,0,23.04,28.33
"889",889,"Petroica_macrocephala","Petroica_macrocephala","New Zealand Tomtit","Petroicidae","Australasian robins","HBW","L",338.03,75.98,414.01,10.2,2.05,7.6,6.1,3.9,11.79,"Not a Migrant",0,3.25,19.17,"Female",0,0,0,0,9.5,-44.07,"S",1,0,10.72,167.08
"891",891,"Petroica_phoenicea","Petroica_phoenicea","Flame Robin","Petroicidae","Australasian robins","HBW","L",325.74,41.35,367.09,9.8,2.53,7.3,4.75,3.5,13,"Full Migrant",1,3,17,"Female",0,1,0,0,17.5,-36.74,"S",0,0,12.41,88.61
"897",897,"Peucaea_cassinii","Aimophila_cassinii","Cassin's Sparrow","Passerellidae","New World sparrows","BNA","L",458.84,116.65,575.49,10.7,2.4,9.6,5.9,6.4,18.9,"Not a Migrant",0,3.5,8,"Female",1,1,0,0,0.1,32.42,"N",0,0,17.72,37.82
"906",906,"Phainopepla_nitens","Phainopepla_nitens","Phainopepla","Ptiliogonatidae","Silky-flycatchers","BNA","L",212.62,67.56,280.17,10.45,2.03,4.9,6.4,3.15,22.1,"Full Migrant",1,2.5,20,"Mainly Male",1,0,0,0,3.5,29.94,"N",0,0,19.23,17.47
"909",909,"Pheucticus_ludovicianus","Pheucticus_ludovicianus","Rose-breasted Grosbeak","Cardinalidae","Cardinals","BNA","L",500.56,380.13,880.69,14.5,1.75,8,11,6,42,"Full Migrant",1,4,10,"Mainly Female",1,0,0,0,8.9,49.38,"N",0,0,7.58,66.57
"910",910,"Pheucticus_ludovicianus","Pheucticus_ludovicianus","Rose-breasted Grosbeak","Cardinalidae","Cardinals","BNA","M",484.1,109.04,593.14,12.5,2.75,7.25,7,4.25,42,"Full Migrant",1,4,10,"Mainly Female",1,0,0,0,8.9,49.38,"N",0,0,7.58,66.57
"912",912,"Pheucticus_melanocephalus","Pheucticus_melanocephalus","Black-headed Grosbeak","Cardinalidae","Cardinals","BNA","L",527.24,140.85,668.08,13.8,2.85,6.7,8.1,4.1,47.13,"Full Migrant",1,3.5,12,"Mainly Female",1,0,0,0,4.5,40.4,"N",0,0,11.38,42.31
"916",916,"Philemon_corniculatus","Philemon_corniculatus","Noisy Friarbird","Meliphagidae","Honeyeaters","HBW","L",709.65,545.78,1255.44,14.9,1.58,10.8,11.75,7.55,100.71,"Full Migrant",1,3,17.5,"Mainly Female",1,0,0,0,18.4,-27.96,"S",0,0,20.95,57.37
"920",920,"Phoenicurus_ochruros","Phoenicurus_ochruros","Black Redstart","Muscicapidae","Old World flycatchers and chats","Tring","M",605.94,78.82,684.76,14.2,3.72,6.34,6.76,3.29,16.5,"Full Migrant",1,5,14.5,"Female",0,1,1,0,22.5,40.39,"N",0,0,8.01,39.8
"921",921,"Phoenicurus_ochruros","Phoenicurus_ochruros","Black Redstart","Muscicapidae","Old World flycatchers and chats","BWP","L",726.3,84.82,811.12,13.5,3.75,8.5,6,4.5,16.5,"Full Migrant",1,5,14.5,"Female",0,1,1,0,22.5,40.39,"N",0,0,8.01,39.8
"925",925,"Phylidonyris_niger","Phylidonyris_niger","White-cheeked Honeyeater","Meliphagidae","Honeyeaters","HBW","L",327.73,43.12,370.85,9.85,2.55,7.3,4.75,3.65,18.2,"Not a Migrant",0,2.06,14,"Female",1,0,0,0,1.88,-28.95,"S",0,0,19.2,53.24
"926",926,"Phylidonyris_novaehollandiae","Phylidonyris_novaehollandiae","New Holland Honeyeater","Meliphagidae","Honeyeaters","HBW","L",332.78,51.91,384.69,9.8,2.2,7.65,5.4,3.4,20.21,"Not a Migrant",0,2.09,14.25,"Excl_Group Care",1,0,0,0,3.53,-34.6,"S",0,0,15.45,60.37
"927",927,"Phylidonyris_pyrrhopterus","Phylidonyris_pyrrhopterus","Crescent Honeyeater","Meliphagidae","Honeyeaters","HBW","L",743.52,63.88,807.4,13.2,4.03,8.85,5.15,4.6,16.3,"Altitudinal Migrant",1,2.06,13,"Female",1,0,0,0,1.63,-36.01,"S",0,0,13.43,79.66
"940",940,"Pinicola_enucleator","Pinicola_enucleator","Pine Grosbeak","Fringillidae","Finches","BWP","L",2237.43,94.99,2332.42,22.13,7.54,9.1,7.05,3.65,56.4,"Full Migrant",1,3.5,16,"Female",1,0,0,0,4,61.41,"N",0,0,-0.46,36.45
"942",942,"Pipilo_chlorurus","Pipilo_chlorurus","Green-tailed Towhee","Passerellidae","New World sparrows","BNA","L",843.99,75.4,919.39,15.2,4.6,7.6,6,4,29.4,"Full Migrant",1,3.5,12.5,"Female",1,1,0,0,0.5,40.15,"N",0,0,8.99,31.06
"943",943,"Pipilo_chlorurus","Pipilo_chlorurus","Green-tailed Towhee","Passerellidae","New World sparrows","BNA","L",628.94,128.28,757.22,13.2,3.1,8.3,7,5,29.4,"Full Migrant",1,3.5,12.5,"Female",1,1,0,0,0.5,40.15,"N",0,0,8.99,31.06
"945",945,"Pipilo_erythrophthalmus","Pipilo_erythrophthalmus","Eastern Towhee","Passerellidae","New World sparrows","BNA","L",210.91,48.86,259.77,10.5,2.55,4.5,5.4,3.2,40.03,"Full Migrant",1,3.5,10.5,"Female",1,1,0,0,2.75,39.85,"N",0,0,13.55,97.7
"946",946,"Pipilo_erythrophthalmus","Pipilo_erythrophthalmus","Eastern Towhee","Passerellidae","New World sparrows","BNA","L",541.47,153.94,695.4,12.5,2.75,8.5,7,6,40.03,"Full Migrant",1,3.5,10.5,"Female",1,1,0,0,2.75,39.85,"N",0,0,13.55,97.7
"951",951,"Piranga_ludoviciana","Piranga_ludoviciana","Western Tanager","Cardinalidae","Cardinals","BNA","L",315.73,90.7,406.43,11.1,2.3,6.3,6.5,4.1,28.1,"Full Migrant",1,4,11,"Female",1,0,0,0,10.9,50.66,"N",0,0,5.8,43.15
"952",952,"Piranga_ludoviciana","Piranga_ludoviciana","Western Tanager","Cardinalidae","Cardinals","BNA","L",417.45,60.38,477.84,13,3.4,5.4,6.2,3,28.1,"Full Migrant",1,4,11,"Female",1,0,0,0,10.9,50.66,"N",0,0,5.8,43.15
"953",953,"Piranga_olivacea","Piranga_olivacea","Scarlet Tanager","Cardinalidae","Cardinals","BNA","L",515.43,101.07,616.49,12.7,3,7.3,6.7,4.3,28.2,"Full Migrant",1,3.5,12,"Female",1,0,0,0,12,42.2,"N",0,0,11.31,90.7
"954",954,"Piranga_olivacea","Piranga_olivacea","Scarlet Tanager","Cardinalidae","Cardinals","BNA","L",361.68,65.97,427.65,11,2.5,6.75,6,3.5,28.2,"Full Migrant",1,3.5,12,"Female",1,0,0,0,12,42.2,"N",0,0,11.31,90.7
"955",955,"Piranga_rubra","Piranga_rubra","Summer Tanager","Cardinalidae","Cardinals","BNA","L",379.91,85.99,465.9,9.65,1.4,9.56,6.85,3.5,29.13,"Full Migrant",1,3.5,9.5,"Female",1,0,0,0,8.75,33.75,"N",0,0,18.09,81.9
"956",956,"Piranga_rubra","Piranga_rubra","Summer Tanager","Cardinalidae","Cardinals","BNA","L",157.67,20.73,178.41,8.8,1.4,4.4,6,1.1,29.13,"Full Migrant",1,3.5,9.5,"Female",1,0,0,0,8.75,33.75,"N",0,0,18.09,81.9
"961",961,"Plectorhyncha_lanceolata","Plectorhyncha_lanceolata","Striped Honeyeater","Meliphagidae","Honeyeaters","HBW","L",87.49,243.46,330.94,8.2,0.3,9.4,7.6,8.05,40.56,"Not a Migrant",0,3.04,16,"Excl_Group Care",1,0,0,0,6.5,-29.26,"S",0,0,21.11,43.41
"969",969,"Poecilodryas_cerviniventris","Poecilodryas_cerviniventris","Buff-sided Robin","Petroicidae","Australasian robins","HBW","L",146.12,108.44,254.56,8.75,1.4,6.35,5.95,5.85,19.8,"Not a Migrant",0,2.5,9,"Female",1,0,0,0,3,-15.2,"S",0,0,27.03,80.93
"970",970,"Poecilodryas_superciliosa","Poecilodryas_superciliosa","White-browed Robin","Petroicidae","Australasian robins","HBW","L",99.37,37.96,137.33,7.95,1.48,4.15,5,2.9,19.8,"Not a Migrant",0,1.5,9,"Female",1,0,0,0,6,-16.15,"S",0,0,24.73,111.01
